game_type,map_type,win_point
4,Erangel_Main,"[[533577.375, 632477.3125], [533723.1875, 632692.8125], [533892.8125, 631119]]"
4,Savage_Main,"[[118497.2265625, 175655.578125], [116589.59375, 173863.890625], [117839.4296875, 173997.75]]"
2,Erangel_Main,"[[420069.5, 430894.125]]"
1,Erangel_Main,"[[271681.40625, 454712.3125]]"
4,Erangel_Main,"[[555459.75, 469127.15625]]"
4,Desert_Main,"[[404483.71875, 666322.125], [405451.0625, 665801.8125], [403171.5, 663938.6875]]"
1,Savage_Main,"[[340095.71875, 122705.15625]]"
4,Erangel_Main,"[[144511.1875, 215982.671875], [147057.25, 215058.96875]]"
2,Desert_Main,"[[347640.46875, 267501.5]]"
1,Range_Main,"[[147892.609375, 143825.734375], [134251.21875, 138601.75]]"
1,Erangel_Main,"[[134475.53125, 555758.75]]"
4,Savage_Main,"[[107890.9609375, 136683.953125], [104859.71875, 137003.5625], [109930.96875, 140199.984375], [106951.4453125, 134950.09375]]"
4,Erangel_Main,"[[337260.90625, 537495.75], [335559.78125, 535637.4375]]"
4,Desert_Main,"[[397171.59375, 546081.5], [398428.34375, 548933.375], [395834.90625, 547542.25]]"
1,Savage_Main,"[[207710.09375, 185839.9375]]"
2,Savage_Main,"[[270768.9375, 206951.5], [270605.5625, 205992.359375]]"
4,Savage_Main,"[[288837.21875, 147881.734375], [289053.375, 150462.765625], [289214.75, 153760.5625]]"
2,Erangel_Main,"[[498683.0625, 124431.9375]]"
2,Savage_Main,"[[155780.78125, 267967.5625]]"
1,Savage_Main,"[[93889.4375, 182542.71875]]"
1,Range_Main,[]
2,Savage_Main,"[[189891, 202466.359375]]"
2,Savage_Main,"[[185088.359375, 284565.21875], [185507.375, 284248.3125]]"
1,Savage_Main,"[[249306.3125, 288721.90625]]"
4,Erangel_Main,"[[352084.5, 415764.21875], [355377.625, 419276.5]]"
1,Savage_Main,"[[239379, 136024.375]]"
4,Savage_Main,"[[204717.65625, 186498.75], [204784.203125, 185893.28125]]"
1,Range_Main,"[[124665.125, 144387.984375], [126212.6875, 144455.609375]]"
1,Savage_Main,"[[258508.78125, 136291.09375]]"
1,Range_Main,"[[105599.84375, 116741.84375], [119501.7265625, 160344.375], [147032.953125, 143483.5]]"
1,Range_Main,"[[46064.34765625, 88340.2578125], [148042.203125, 143274.578125]]"
4,Desert_Main,"[[261912.53125, 371364.15625], [272775.75, 375981.84375], [272797.4375, 364428.71875]]"
1,Savage_Main,"[[353416.875, 221982]]"
1,Desert_Main,"[[439136.1875, 618426.4375]]"
1,Range_Main,"[[120800.046875, 143818.765625]]"
2,Savage_Main,"[[218051.5625, 160218.5], [218154.53125, 160302.6875]]"
2,Savage_Main,"[[116433.765625, 266682.03125], [117072.78125, 268814.6875]]"
4,Savage_Main,"[[148004.4375, 281663.09375], [146952.609375, 283016.40625]]"
4,Savage_Main,"[[279354.6875, 241445.4375], [279987.90625, 238453.59375]]"
4,Savage_Main,"[[175013.75, 246908.671875], [174698.640625, 246681.890625]]"
1,Savage_Main,"[[244891.75, 276068.15625]]"
2,Erangel_Main,"[[431978.0625, 307795.09375], [431806.34375, 307946.75]]"
1,Erangel_Main,"[[423949.15625, 395204.78125]]"
1,Savage_Main,"[[308680.90625, 55202.6875]]"
4,Desert_Main,"[[187786.8125, 414128.875], [187779.140625, 414252.21875]]"
4,Savage_Main,"[[222527.75, 266434.59375], [221606.890625, 262873.0625], [222403.109375, 267748.8125], [223020.859375, 266752.15625]]"
2,Savage_Main,"[[293912.375, 232427.9375]]"
4,Savage_Main,"[[237179.015625, 255124.375]]"
4,Savage_Main,"[[213386.78125, 163047.59375], [213534.96875, 162765.578125], [212964.3125, 163092.515625]]"
1,Range_Main,"[[144289.28125, 143238.6875], [148357.1875, 144764.84375]]"
4,Savage_Main,"[[182496.3125, 247334.890625], [181849.75, 246198.234375], [181430.3125, 245814.859375], [182814.453125, 247767.75]]"
1,Erangel_Main,"[[313364.0625, 431020.0625]]"
